function,version,bleu4,exact_match,codebert_sim
freeMint()_v16_v0.8.17___231,0.8.17,0.0,0,0.9411
lockMultiplier(uint256)_v2_v0.8.0___232,0.8.0,0.0,0,0.9848
setLogicContract(address)_v0.8.12___233,0.8.12,0.0,0,0.9821
openTrading()_v1040_v0.8.17___234,0.8.17,0.0,0,0.9903
transferOwnership(address)_v246_v0.8.17___235,0.8.17,0.0,0,0.998
removeBotFromBlackList(address)_v10_v0.8.4___236,0.8.4,0.0,0,0.9524
setMaxWalletAmount(uint256)_v2_v0.8.0___237,0.8.0,0.0,0,0.9844
setMarketingWallet(address)_v2_v0.8.17___238,0.8.17,0.0,0,0.9802
"decreaseAllowance(address,uint256)_v84_v0.8.17___239",0.8.17,0.6837,0,0.9938
"setCrossDomainAdmin(uint256,address,uint256,uint256,uint256,uint256)_v0.8.0___240",0.8.0,0.0,0,0.985
"decreaseAllowance(address,uint256)_v8_v0.8.17___241",0.8.17,0.7167,0,0.9974
"recoverSigner(bytes32,bytes)_v3_v0.8.7___242",0.8.7,0.0,0,0.9737
"decreaseAllowance(address,uint256)_v310_v0.8.16___243",0.8.16,0.3628,0,0.9762
deposit(uint256)_v0.8.9___244,0.8.9,0.0864,0,0.9933
"excludeFromFees(address,bool)_v5_v0.8.7___245",0.8.7,0.4208,0,0.9957
setWhirlpoolAddress(address)_v0.8.6___246,0.8.6,0.0,0,0.9929
getApproved(uint256)_v47_v0.8.17___247,0.8.17,0.2738,0,0.9926
"setMaxTxPercent(uint256,uint256)_v0.8.4___248",0.8.4,0.0,0,0.9857
ownerOf(uint256)_v58_v0.8.0___249,0.8.0,0.3924,0,0.9978
withdraw(uint256)_v4_v0.8.0___250,0.8.0,0.0,0,0.9726
"setApprovalForAll(address,bool)_v4_v0.8.6___251",0.8.6,0.0,0,0.9788
"initialize(address,address,address)_v2_v0.8.7___252",0.8.7,0.1279,0,0.9937
releaseTokens(address)_v0.8.4___253,0.8.4,0.0,0,0.9427
"send(uint256,address,uint256)_v0.8.15___254",0.8.15,0.0,0,0.9877
"updateFees(uint256,uint256,uint256)_v0.8.12___255",0.8.12,0.0,0,0.9911
"compareStrings(string,string)_v2_v0.8.0___256",0.8.0,0.7673,0,0.9959
setCovidFee(uint256)_v0.8.0___257,0.8.0,0.0,0,0.987
"configure(address,address)_v0.8.11___258",0.8.11,0.0,0,0.9627
get()_v0.8.9___259,0.8.9,0.0,0,0.9898
isClaimed(uint256)_v0.8.11___260,0.8.11,0.1065,0,0.9727
getPrice()_v0.8.0___261,0.8.0,0.0,0,0.9924
