START
Wed Jun 24 16:19:20 +04 2026
cn270
resume: 0 stems already harvested
remaining: 109679
  [55500/109679] 4.9/s ETA 3.1h
  [55800/109679] 4.9/s ETA 3.0h
  [56100/109679] 4.9/s ETA 3.0h
  [56400/109679] 4.9/s ETA 3.0h
  [56700/109679] 4.9/s ETA 3.0h
  [57000/109679] 4.9/s ETA 3.0h
  [57300/109679] 4.9/s ETA 3.0h
  [57600/109679] 4.9/s ETA 3.0h
  [57900/109679] 4.9/s ETA 3.0h
  [58200/109679] 4.9/s ETA 2.9h
  [58500/109679] 4.9/s ETA 2.9h
  [58800/109679] 4.9/s ETA 2.9h
  [59100/109679] 4.9/s ETA 2.9h
  [59400/109679] 4.9/s ETA 2.9h
  [59700/109679] 4.8/s ETA 2.9h
  [60000/109679] 4.8/s ETA 2.9h
  [60300/109679] 4.8/s ETA 2.8h
  [60600/109679] 4.8/s ETA 2.8h
  [60900/109679] 4.8/s ETA 2.8h
  [61200/109679] 4.8/s ETA 2.8h
  [61500/109679] 4.8/s ETA 2.8h
  [61800/109679] 4.8/s ETA 2.8h
  [62100/109679] 4.8/s ETA 2.7h
  [62400/109679] 4.8/s ETA 2.7h
  [62700/109679] 4.8/s ETA 2.7h
  [63000/109679] 4.8/s ETA 2.7h
  [63300/109679] 4.8/s ETA 2.7h
  [63600/109679] 4.8/s ETA 2.6h
  [63900/109679] 4.8/s ETA 2.6h
  [64200/109679] 4.8/s ETA 2.6h
  [64500/109679] 4.8/s ETA 2.6h
  [64800/109679] 4.8/s ETA 2.6h
  [65100/109679] 4.8/s ETA 2.6h
  [65400/109679] 4.8/s ETA 2.5h
  [65700/109679] 4.8/s ETA 2.5h
  [66000/109679] 4.8/s ETA 2.5h
  [66300/109679] 4.8/s ETA 2.5h
  [66600/109679] 4.8/s ETA 2.5h
  [66900/109679] 4.8/s ETA 2.5h
  [67200/109679] 4.8/s ETA 2.5h
  [67500/109679] 4.8/s ETA 2.4h
  [67800/109679] 4.8/s ETA 2.4h
  [68100/109679] 4.8/s ETA 2.4h
  [68400/109679] 4.8/s ETA 2.4h
  [68700/109679] 4.8/s ETA 2.4h
  [69000/109679] 4.8/s ETA 2.4h
  [69300/109679] 4.8/s ETA 2.3h
  [69600/109679] 4.8/s ETA 2.3h
  [69900/109679] 4.8/s ETA 2.3h
  [70200/109679] 4.8/s ETA 2.3h
  [70500/109679] 4.8/s ETA 2.3h
  [70800/109679] 4.8/s ETA 2.3h
  [71100/109679] 4.8/s ETA 2.2h
  [71400/109679] 4.8/s ETA 2.2h
  [71700/109679] 4.8/s ETA 2.2h
  [72000/109679] 4.8/s ETA 2.2h
  [72300/109679] 4.8/s ETA 2.2h
  [72600/109679] 4.8/s ETA 2.2h
  [72900/109679] 4.8/s ETA 2.1h
  [73200/109679] 4.8/s ETA 2.1h
  [73500/109679] 4.8/s ETA 2.1h
  [73800/109679] 4.8/s ETA 2.1h
  [74100/109679] 4.8/s ETA 2.1h
  [74400/109679] 4.8/s ETA 2.0h
  [74700/109679] 4.8/s ETA 2.0h
  [75000/109679] 4.8/s ETA 2.0h
  [75300/109679] 4.8/s ETA 2.0h
  [75600/109679] 4.8/s ETA 2.0h
  [75900/109679] 4.8/s ETA 2.0h
  [76200/109679] 4.8/s ETA 1.9h
  [76500/109679] 4.8/s ETA 1.9h
  [76800/109679] 4.8/s ETA 1.9h
  [77100/109679] 4.8/s ETA 1.9h
  [77400/109679] 4.8/s ETA 1.9h
  [77700/109679] 4.8/s ETA 1.8h
  [78000/109679] 4.8/s ETA 1.8h
  [78300/109679] 4.8/s ETA 1.8h
