function,version,bleu4,exact_match,normalized_match
setFeeRate(uint256)_v79_v0.8.4___141,0.8.4,0.0,0,0
upgradeGenArtTokenContract(address)_v0.8.0___142,0.8.0,0.0,0,0
"decreaseAllowance(address,uint256)_v98_v0.8.0___143",0.8.0,0.5658,0,0
claim()_v25_v0.8.0___144,0.8.0,0.0,0,0
setOperationParameters(uint256)_v0.8.6___145,0.8.6,0.0,0,0
"execute(address,uint256,bytes,bytes32,bytes32)_v2_v0.8.0___146",0.8.0,0.182,0,0
"depositTokenForUser(address,uint128,address)_v0.8.7___147",0.8.7,0.2907,0,1
withdrawCollateral(uint256)_v0.8.0___148,0.8.0,0.0,0,0
isblacklist(address)_v0.8.17___149,0.8.17,0.5348,0,0
"mint(address,uint256)_v206_v0.8.0___150",0.8.0,0.0,0,0
manualSend()_v25_v0.8.4___151,0.8.4,0.7612,0,1
addLP()_v4_v0.8.15___152,0.8.15,0.0009,0,0
"withdraw(address,uint256)_v0.8.17___153",0.8.17,0.0,0,0
"cancelOrder(uint256,address)_v0.8.0___154",0.8.0,0.0,0,0
updateGasForProcessing(uint256)_v17_v0.8.13___155,0.8.13,0.1958,0,0
clearStuckToken(address)_v19_v0.8.10___156,0.8.10,0.0,0,0
withdraw(uint256)_v9_v0.8.11___157,0.8.11,0.0,0,0
"getExpectedEth(address,uint256)_v3_v0.8.4___158",0.8.4,0.2074,0,0
"updateBuyFees(uint256,uint256,uint256)_v813_v0.8.10___159",0.8.10,0.8624,0,0
mint()_v31_v0.8.4___160,0.8.4,0.0348,0,0
isVerified(address)_v0.8.11___161,0.8.11,0.4172,0,0
changeMaxBuy(uint256)_v0.8.9___162,0.8.9,0.0,0,0
claimTokens()_v0.8.9___163,0.8.9,0.0,0,0
"updateBuyFees(uint256,uint256,uint256,uint256)_v3_v0.8.11___164",0.8.11,0.5495,0,0
"getOwners(address,uint256,uint256)_v0.8.15___165",0.8.15,0.0373,0,0
"multisendToken(address,address[],uint256[])_v0.8.0___166",0.8.0,0.0,0,0
setMinQuorum(uint256)_v0.8.16___167,0.8.16,0.0,0,0
token()_v2_v0.8.0___168,0.8.0,0.0,0,0
"stake_tokens(uint256,bytes32)_v2_v0.8.1___169",0.8.1,0.0166,0,0
DOMAIN_SEPARATOR()_v11_v0.8.4___170,0.8.4,0.0,0,0
getPendingDivs(address)_v0.8.3___171,0.8.3,0.0,0,0
validPool(address)_v0.8.0___172,0.8.0,0.2592,0,0
stake(uint256)_v0.8.0___173,0.8.0,0.0838,0,0
deposit()_v10_v0.8.7___174,0.8.7,0.3318,0,0
"setFeeExempt(address,bool)_v0.8.10___175",0.8.10,1.0,1,1
setBuybackTriggerTokenLimit(uint256)_v0.8.13___176,0.8.13,0.0,0,0
"decreaseAllowance(address,uint256)_v2694_v0.8.0___177",0.8.0,0.164,0,0
"decrease(uint256,uint256)_v0.8.4___178",0.8.4,0.0,0,0
"setFee(uint256,uint256,uint256,uint256)_v2_v0.8.0___179",0.8.0,0.3036,0,0
upgradeTo(address)_v0.8.14___180,0.8.14,0.4317,0,0
send(address)_v0.8.17___181,0.8.17,0.0,0,0
"safeBatchTransferFrom(address,address,uint256[],uint256[],bytes)_v0.8.7___182",0.8.7,0.0,0,0
uniqueAddresses(address[])_v0.8.2___183,0.8.2,0.0,0,0
removeManager(address)_v0.8.6___184,0.8.6,0.0,0,0
uri(uint256)_v0.8.18___185,0.8.18,0.0,0,0
setFoo(uint256)_v0.8.7___186,0.8.7,0.1647,0,0
renounceOwnership()_v20_v0.8.0___187,0.8.0,0.0,0,0
payUSDC(uint256)_v0.8.4___188,0.8.4,0.1157,0,0
setAmount(uint256)_v2_v0.8.6___189,0.8.6,0.0,0,0
setGovernance(address)_v2_v0.8.0___190,0.8.0,0.0,0,1
blackListAddress(address)_v0.8.7___191,0.8.7,0.2435,0,0
not(bool)_v0.8.4___192,0.8.4,0.3554,0,0
publicMint(uint256)_v0.8.4___193,0.8.4,0.1674,0,0
lengthOf(address)_v0.8.0___194,0.8.0,0.0,0,0
setExcludedAll(address)_v0.8.7___195,0.8.7,0.0,0,0
getMultiplier(address)_v0.8.7___196,0.8.7,0.0,0,0
setBaseURI(string)_v42_v0.8.4___197,0.8.4,0.0,0,0
ownerDeposit()_v0.8.7___198,0.8.7,0.1181,0,0
baseTokenURI()_v0.8.13___199,0.8.13,0.4833,0,0
"setFee(uint256,uint256,uint256)_v0.8.0___200",0.8.0,0.0,0,0
setSwapEnabled(bool)_v15_v0.8.4___201,0.8.4,0.3866,0,1
"quote(address,uint256,address,uint256)_v0.8.2___202",0.8.2,0.0,0,0
hash()_v0.8.7___203,0.8.7,0.0,0,0
USDlimit()_v0.8.4___204,0.8.4,0.4671,0,0
rescueBNB()_v0.8.0___205,0.8.0,0.0,0,0
modredisT(uint256)_v0.8.4___206,0.8.4,0.0,0,0
"updateSellFees(uint256,uint256,uint256)_v427_v0.8.10___207",0.8.10,0.759,0,0
openTrading()_v629_v0.8.0___208,0.8.0,0.8492,0,0
removeAddress(bytes32)_v0.8.13___209,0.8.13,0.0,0,0
getAddress(bytes32)_v2_v0.8.9___210,0.8.9,0.0,0,0
"tradingStatus(bool,uint256)_v0.8.7___211",0.8.7,0.2378,0,0
addSniperInList(address)_v0.8.10___212,0.8.10,0.0,0,0
removePair(address)_v0.8.14___213,0.8.14,0.0,0,0
setReleaseTime(uint256)_v0.8.0___214,0.8.0,0.0,0,0
claim(uint256)_v7_v0.8.17___215,0.8.17,0.059,0,0
reserve()_v0.8.0___216,0.8.0,0.0,0,0
manualsend()_v41_v0.8.10___217,0.8.10,0.4844,0,0
setMarketingFeePercent(uint256)_v0.8.18___218,0.8.18,0.0,0,0
claimDividend()_v0.8.10___219,0.8.10,0.0,0,0
"setOperator(address,bool)_v2_v0.8.0___220",0.8.0,0.0,0,1
"setPerBlockAllowance(address,address,uint256)_v0.8.13___221",0.8.13,0.0,0,0
"setFee(uint256,uint256,uint256,uint256)_v215_v0.8.7___222",0.8.7,0.0,0,0
"setMultipliers(uint256,uint256,uint256)_v2_v0.8.12___223",0.8.12,0.0,0,0
"updateBuyFees(uint256,uint256,uint256,uint256)_v6_v0.8.9___224",0.8.9,0.369,0,0
getPreviousWinners()_v0.8.6___225,0.8.6,0.0,0,0
withdrawETH()_v12_v0.8.0___226,0.8.0,0.0,0,0
token()_v10_v0.8.0___227,0.8.0,0.0,0,0
manualSend()_v15_v0.8.12___228,0.8.12,0.3682,0,0
disableBlacklist(address)_v2_v0.8.9___229,0.8.9,0.0,0,0
Admin()_v0.8.0___230,0.8.0,0.7825,0,1
freeMint()_v16_v0.8.17___231,0.8.17,0.0,0,0
lockMultiplier(uint256)_v2_v0.8.0___232,0.8.0,0.0,0,0
setLogicContract(address)_v0.8.12___233,0.8.12,0.0,0,0
openTrading()_v1040_v0.8.17___234,0.8.17,0.0,0,0
transferOwnership(address)_v246_v0.8.17___235,0.8.17,0.0,0,0
removeBotFromBlackList(address)_v10_v0.8.4___236,0.8.4,0.0,0,0
setMaxWalletAmount(uint256)_v2_v0.8.0___237,0.8.0,0.0,0,0
setMarketingWallet(address)_v2_v0.8.17___238,0.8.17,0.0,0,0
"decreaseAllowance(address,uint256)_v84_v0.8.17___239",0.8.17,0.6837,0,0
"setCrossDomainAdmin(uint256,address,uint256,uint256,uint256,uint256)_v0.8.0___240",0.8.0,0.0,0,0
"decreaseAllowance(address,uint256)_v8_v0.8.17___241",0.8.17,0.7167,0,0
"recoverSigner(bytes32,bytes)_v3_v0.8.7___242",0.8.7,0.0,0,0
"decreaseAllowance(address,uint256)_v310_v0.8.16___243",0.8.16,0.3628,0,0
deposit(uint256)_v0.8.9___244,0.8.9,0.0864,0,0
"excludeFromFees(address,bool)_v5_v0.8.7___245",0.8.7,0.4208,0,0
setWhirlpoolAddress(address)_v0.8.6___246,0.8.6,0.0,0,0
getApproved(uint256)_v47_v0.8.17___247,0.8.17,0.2738,0,0
"setMaxTxPercent(uint256,uint256)_v0.8.4___248",0.8.4,0.0,0,0
ownerOf(uint256)_v58_v0.8.0___249,0.8.0,0.3924,0,0
withdraw(uint256)_v4_v0.8.0___250,0.8.0,0.0,0,0
"setApprovalForAll(address,bool)_v4_v0.8.6___251",0.8.6,0.0,0,0
"initialize(address,address,address)_v2_v0.8.7___252",0.8.7,0.1279,0,0
releaseTokens(address)_v0.8.4___253,0.8.4,0.0,0,0
"send(uint256,address,uint256)_v0.8.15___254",0.8.15,0.0,0,0
"updateFees(uint256,uint256,uint256)_v0.8.12___255",0.8.12,0.0,0,0
"compareStrings(string,string)_v2_v0.8.0___256",0.8.0,0.7673,0,0
setCovidFee(uint256)_v0.8.0___257,0.8.0,0.0,0,0
"configure(address,address)_v0.8.11___258",0.8.11,0.0,0,0
get()_v0.8.9___259,0.8.9,0.0,0,0
isClaimed(uint256)_v0.8.11___260,0.8.11,0.1065,0,0
getPrice()_v0.8.0___261,0.8.0,0.0,0,0
getTransaction(uint256)_v3_v0.8.10___262,0.8.10,0.0728,0,0
"decreaseAllowance(address,uint256)_v1604_v0.8.9___263",0.8.9,0.4193,0,0
"rageLeave(uint256,bool)_v0.8.1___264",0.8.1,0.0,0,0
openTrading()_v127_v0.8.0___265,0.8.0,0.8492,0,1
setMaxTx(uint256)_v2_v0.8.9___266,0.8.9,0.3247,0,0
withdraw(uint256)_v21_v0.8.0___267,0.8.0,0.0,0,0
setDev(address)_v2_v0.8.4___268,0.8.4,0.0,0,0
abort(uint256)_v2_v0.8.15___269,0.8.15,0.0,0,0
"setSellFees(uint256,uint256,uint256,uint256,uint256,uint256)_v15_v0.8.7___270",0.8.7,0.0735,0,0
"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256,uint256,address[],address,uint256)_v0.8.0___271",0.8.0,0.7918,0,0
getMessage()_v0.8.16___272,0.8.16,0.3393,0,1
rageQuit(address)_v0.8.0___273,0.8.0,0.0,0,0
claimFee()_v0.8.0___274,0.8.0,0.0,0,0
setPounge(uint256)_v0.8.0___275,0.8.0,0.0,0,0
"setTokenURI(uint256,string)_v2_v0.8.0___276",0.8.0,0.5452,0,1
draw(uint256)_v0.8.7___277,0.8.7,0.0,0,0
withdrawEthToOwner(uint256)_v0.8.9___278,0.8.9,0.0,0,0
burnBlackFunds(address)_v0.8.2___279,0.8.2,0.0,0,0
state(uint256)_v0.8.1___280,0.8.1,0.0,0,0
"increaseAllowance(address,uint256)_v82_v0.8.6___281",0.8.6,0.4622,0,0
"awarded(uint256,address)_v0.8.0___282",0.8.0,0.0,0,0
"getOrderTypedDataHash(address,bool,address,uint256,address,uint256,bytes32,uint256)_v0.8.0___283",0.8.0,0.0,0,0
"setParameters(uint256,uint256,uint256)_v266_v0.8.16___284",0.8.16,0.0483,0,0
"updateSellFees(uint256,uint256,uint256)_v8_v0.8.10___285",0.8.10,0.8624,0,0
buyFighter(uint256)_v0.8.2___286,0.8.2,0.0,0,0
"setBuyFees(uint256,uint256,uint256,uint256,uint256,uint256)_v15_v0.8.7___287",0.8.7,0.3486,0,0
openTrading()_v695_v0.8.0___288,0.8.0,0.8492,0,1
"getUserInfo(address,address)_v0.8.0___289",0.8.0,0.0,0,0
assetBalance(address)_v4_v0.8.2___290,0.8.2,0.2987,0,0
meowStuff()_v2_v0.8.7___291,0.8.7,0.0,0,0
Approve(address)_v3_v0.8.0___292,0.8.0,0.0,0,0
"setDistributionCriteria(uint256,uint256)_v5_v0.8.10___293",0.8.10,0.0,0,0
earned(address)_v0.8.10___294,0.8.10,0.0,0,0
setPairAddress(address)_v0.8.0___295,0.8.0,0.0,0,0
"decreaseAllowance(address,uint256)_v5037_v0.8.0___296",0.8.0,0.231,0,0
"isApprovedForAll(address,address)_v208_v0.8.4___297",0.8.4,0.0,0,0
startTrading()_v7_v0.8.10___298,0.8.10,0.0,0,0
updateRewardCycleBlock(uint256)_v0.8.4___299,0.8.4,0.2043,0,0
baseTokenURI()_v0.8.7___300,0.8.7,0.4833,0,0
openTrading()_v362_v0.8.0___301,0.8.0,0.7094,0,1
manualapprove(uint256)_v0.8.4___302,0.8.4,0.0,0,0
sweep(address)_v0.8.9___303,0.8.9,0.0,0,0
"setOwner(address,address)_v0.8.13___304",0.8.13,0.0,0,0
"stake(uint256,uint8)_v2_v0.8.0___305",0.8.0,0.0,0,0
"isRoomRegistered(uint256,address)_v2_v0.8.0___306",0.8.0,0.0,0,0
setTxLimit(uint256)_v3_v0.8.16___307,0.8.16,0.0,0,0
getDepositDetails(uint256)_v0.8.9___308,0.8.9,0.0,0,0
updateMaxWalletAmount(uint256)_v619_v0.8.9___309,0.8.9,0.212,0,0
compound()_v2_v0.8.10___310,0.8.10,0.0,0,0
updateMaxTxAmount(uint256)_v0.8.11___311,0.8.11,0.4548,0,0
calculateReward(address)_v0.8.4___312,0.8.4,0.204,0,0
removeExclude(address)_v9_v0.8.9___313,0.8.9,0.3611,0,0
registeredTokens()_v0.8.17___314,0.8.17,0.0,0,0
getCirculatingSupply()_v60_v0.8.17___315,0.8.17,0.5489,0,0
setOwner(address)_v10_v0.8.6___316,0.8.6,0.3627,0,0
addModerator(address)_v2_v0.8.17___317,0.8.17,0.0,0,0
"transferAndCall(address,uint256,bytes)_v0.8.2___318",0.8.2,0.7017,0,0
manualswap()_v145_v0.8.13___319,0.8.13,0.23,0,0
setWalletLimit(uint256)_v56_v0.8.4___320,0.8.4,0.3247,0,0
"setBuyFeePercent(uint256,uint256,uint256,uint256)_v0.8.10___321",0.8.10,0.0,0,0
"setIsTxLimitExempt(address,bool)_v4_v0.8.9___322",0.8.9,0.7192,0,0
"updateBuyFees(uint256,uint256,uint256,uint256)_v118_v0.8.10___323",0.8.10,0.3412,0,0
"decreaseAllowance(address,uint256)_v3600_v0.8.0___324",0.8.0,0.272,0,0
tradingLive()_v0.8.17___325,0.8.17,0.0,0,0
withdrawEth(uint256)_v0.8.9___326,0.8.9,0.0,0,0
setMaxSellAmount(uint256)_v0.8.4___327,0.8.4,0.0,0,0
nameForStakingToken(address)_v0.8.0___328,0.8.0,0.0151,0,0
executeLosslessTurnOff()_v0.8.4___329,0.8.4,0.0,0,0
